ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-21,2,9/11/2021,9/11/2021,28.83349862,77.63337857,34.85529247,91.26481903,4.388,Power outage affecting traffic signals,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Night,Night,Sunset,Dawn
A-22,2,11/1/2020,11/1/2020,12.91062996,87.1409623,18.35244534,76.07948877,0.812,Pedestrian accident causing delay,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Night,Twilight,Dawn,Day
A-23,5,6/12/2021,6/12/2021,19.47147652,89.12780676,15.72399674,85.58005675,2.801,Delays caused by roadblock or construction,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Dawn,Sunset,Day,Dawn
A-24,3,9/24/2024,9/24/2024,26.56501176,71.61413415,33.90145189,82.70655262,3.501,Accident near busy intersection,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Night,Twilight,Twilight,Dawn
A-25,5,12/1/2023,12/1/2023,31.84548025,76.81237353,12.51566323,90.787006,3.23,Accident near busy intersection,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Day,Dawn,Twilight,Twilight
A-26,1,10/14/2023,10/14/2023,31.3711274,89.78300599,26.85666579,74.51457931,1.396,Minor traffic disruption due to road work,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Twilight,Night,Sunset,Sunset
A-27,2,4/10/2020,4/10/2020,10.5747117,87.94104998,33.67245461,92.9527764,4.485,Delays caused by roadblock or construction,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Sunset,Night,Sunset,Twilight
A-28,5,2/12/2020,2/12/2020,15.83623668,89.90225039,19.71977618,91.63518871,4.514,Delays caused by roadblock or construction,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Dawn,Twilight,Sunset,Night
A-29,4,3/23/2021,3/23/2021,8.40198397,76.28611638,14.42316832,77.27157748,2.931,Heavy traffic due to construction work,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Sunset,Sunset,Dawn,Twilight
A-30,4,1/17/2024,1/17/2024,7.930237028,92.15384391,18.07378119,90.3240774,4.757,Minor traffic disruption due to road work,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Sunset,Twilight,Twilight,Twilight
A-31,4,1/12/2022,1/12/2022,12.80207067,80.63924331,6.899769418,77.74775677,3.556,Delays caused by roadblock or construction,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Day,Sunset,Night,Sunset
A-32,1,5/26/2021,5/26/2021,14.06484573,77.49322734,20.09567908,77.78751589,4.458,Pedestrian accident causing delay,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Dawn,Night,Day,Day
A-33,2,4/8/2020,4/8/2020,12.18018115,68.5910205,10.72385272,71.66040827,3.513,Power outage affecting traffic signals,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Dawn,Day,Twilight,Day
A-34,5,11/20/2020,11/20/2020,26.99776589,95.78701231,18.29628769,88.73542645,0.842,Power outage affecting traffic signals,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Dawn,Day,Twilight,Dawn
A-35,4,9/30/2024,9/30/2024,31.49225846,71.06062725,35.78441458,86.43196808,4.229,Heavy traffic due to construction work,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Twilight,Dawn,Dawn,Night
A-36,3,9/15/2024,9/15/2024,33.3305667,75.07203974,20.40596246,85.69961942,2.205,Minor traffic disruption due to road work,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Dawn,Dawn,Dawn,Twilight
A-37,5,11/6/2022,11/6/2022,6.314684548,95.49381476,8.654001821,88.88216526,2.699,Power outage affecting traffic signals,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Night,Sunset,Night,Dawn
A-38,3,1/31/2023,1/31/2023,20.67107515,83.396736,19.19061819,89.63212766,1.989,Construction detour causing congestion,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Dawn,Day,Twilight,Night
A-39,2,2/2/2020,2/2/2020,28.89674426,76.01848918,24.27719408,90.04602897,3.186,Vehicle accident with minor impact,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Day,Twilight,Night,Dawn
A-40,1,7/2/2020,7/2/2020,23.15412797,88.22510439,9.914664282,93.18537472,2.709,Minor traffic disruption due to road work,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Day,Dawn,Sunset,Day
A-41,4,5/17/2024,5/17/2024,21.24414337,84.73361354,27.27998157,72.4000832,4.15,Pedestrian accident causing delay,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Sunset,Sunset,Dawn,Twilight
A-42,3,3/22/2023,3/22/2023,23.62751359,69.74667883,35.7633721,70.87777367,3.932,Power outage affecting traffic signals,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Night,Day,Sunset,Sunset
A-43,4,1/27/2023,1/27/2023,15.02903796,74.7128108,27.91563073,88.38663918,2.543,Power outage affecting traffic signals,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Dawn,Night,Day,Day
A-44,3,4/7/2024,4/7/2024,24.44636516,91.90296874,34.5569684,80.73545001,2.609,Pedestrian accident causing delay,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Sunset,Dawn,Twilight,Dawn
A-45,1,1/26/2023,1/26/2023,13.09665689,87.55465265,32.67602306,85.02656502,0.593,Pedestrian accident causing delay,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Twilight,Sunset,Sunset,Day
A-46,3,1/29/2020,1/29/2020,18.6587909,77.31068942,9.242596422,72.66392073,2.352,Construction detour causing congestion,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Dawn,Dawn,Day,Sunset
A-47,1,12/26/2020,12/26/2020,26.38747198,83.73521424,18.81067469,73.4398937,2.128,Construction detour causing congestion,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Sunset,Sunset,Day,Day
A-48,5,12/23/2021,12/23/2021,30.77872573,88.58370193,15.63325429,68.39655947,2.336,Power outage affecting traffic signals,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Twilight,Dawn,Sunset,Sunset
A-49,2,10/27/2023,10/27/2023,20.16038065,72.19461709,11.9089215,85.38195036,3.858,Heavy traffic due to construction work,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Dawn,Dawn,Twilight,Twilight
A-50,2,6/23/2022,6/23/2022,19.84296918,82.04590018,16.30563863,90.12330765,2.197,Accident near busy intersection,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Dawn,Sunset,Sunset,Sunset
A-51,4,11/13/2020,11/13/2020,35.90955759,71.66114182,35.9259613,77.62784641,0.952,Construction detour causing congestion,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Day,Sunset,Dawn,Dawn
A-52,4,12/31/2020,12/31/2020,26.14493623,92.70119348,32.42258143,92.92092334,2.21,Accident near busy intersection,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Day,Sunset,Day,Day
A-53,2,3/10/2022,3/10/2022,27.51403605,94.1992978,7.425720029,91.08816049,1.82,Accident near busy intersection,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Night,Day,Twilight,Sunset
A-54,2,5/4/2024,5/4/2024,21.42768482,84.91155679,13.19784177,86.4992343,2.568,Minor traffic disruption due to road work,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Twilight,Dawn,Sunset,Dawn
A-55,3,4/6/2022,4/6/2022,12.17572697,79.15610422,20.97944989,74.87896536,3.074,Pedestrian accident causing delay,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Twilight,Sunset,Dawn,Night
A-56,3,2/13/2021,2/13/2021,12.78914071,73.51382769,13.7694308,89.91174239,3.954,Heavy traffic due to construction work,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Night,Day,Dawn,Dawn
A-57,2,3/31/2022,3/31/2022,12.22463863,90.80887152,33.1702785,78.60986839,2.758,Pedestrian accident causing delay,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Sunset,Day,Night,Night
A-58,5,8/6/2022,8/6/2022,17.33902653,90.92977709,6.431478308,83.56059694,2.547,Pedestrian accident causing delay,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Twilight,Twilight,Dawn,Twilight
A-59,1,7/14/2020,7/14/2020,25.69752159,81.46375855,27.73339213,86.82794394,1.025,Minor traffic disruption due to road work,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Twilight,Night,Sunset,Sunset
A-60,5,9/23/2020,9/23/2020,18.99292936,89.52580143,10.79020997,80.0316513,0.946,Construction detour causing congestion,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Sunset,Night,Dawn,Day
A-61,5,6/19/2020,6/19/2020,33.95258259,86.69997748,7.877052764,76.00056178,4.857,Construction detour causing congestion,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Night,Twilight,Night,Day
A-62,2,1/22/2020,1/22/2020,24.17787559,91.57853645,13.22295905,90.45668876,4.049,Minor traffic disruption due to road work,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Day,Night,Day,Dawn
A-63,5,10/4/2024,10/4/2024,16.03691532,73.05313984,7.624369554,89.50982365,2.867,Vehicle accident with minor impact,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Twilight,Day,Twilight,Dawn
A-64,1,7/9/2023,7/9/2023,7.885587632,81.89047542,18.45013489,87.89682739,2.706,Construction detour causing congestion,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Dawn,Twilight,Twilight,Twilight
A-65,4,2/7/2024,2/7/2024,36.83346043,83.38614829,20.06517794,85.55737695,0.946,Vehicle accident with minor impact,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Sunset,Sunset,Sunset,Day
A-66,4,11/18/2023,11/18/2023,15.68823071,75.3918041,35.56136805,87.91781003,2.634,Vehicle accident with minor impact,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Twilight,Day,Twilight,Twilight
A-67,3,2/1/2021,2/1/2021,26.77041121,79.91345035,33.08182854,95.2927662,2.403,Minor traffic disruption due to road work,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Sunset,Night,Day,Dawn
A-68,3,6/14/2020,6/14/2020,9.561444719,76.07847816,13.01093192,80.44425992,3.024,Vehicle breakdown on major highway,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Dawn,Dawn,Day,Night
A-69,5,6/13/2023,6/13/2023,26.37768368,70.01797722,28.97004083,96.18249924,0.913,Vehicle breakdown on major highway,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Dawn,Dawn,Dawn,Twilight
A-70,1,6/3/2023,6/3/2023,33.38360772,72.5118172,29.38751225,69.44311228,0.867,Construction detour causing congestion,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Twilight,Day,Dawn,Sunset
A-71,3,11/25/2020,11/25/2020,27.02475468,85.20089326,22.33495732,76.94416236,1.492,Minor traffic disruption due to road work,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Dawn,Dawn,Day,Day
A-72,4,9/14/2023,9/14/2023,11.44653886,79.02601593,27.81380916,82.50760805,4.25,Accident near busy intersection,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Day,Dawn,Twilight,Sunset
A-73,4,2/6/2020,2/6/2020,27.99446781,80.11312484,9.570374553,68.60484021,1.961,Construction detour causing congestion,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Twilight,Sunset,Twilight,Day
A-74,3,1/28/2023,1/28/2023,29.11994962,74.42558971,30.15265393,70.21500195,3.35,Vehicle breakdown on major highway,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Night,Dawn,Night,Night
A-75,2,5/7/2021,5/7/2021,29.56667416,87.00976131,11.49153,90.41259459,2.724,Construction detour causing congestion,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Sunset,Dawn,Dawn,Twilight
A-76,3,5/3/2020,5/3/2020,21.72744344,77.00182767,20.00932977,69.64981147,4.243,Vehicle accident with minor impact,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Dawn,Twilight,Sunset,Twilight
A-77,1,8/1/2023,8/1/2023,19.96621638,91.51803753,31.95869253,96.48918185,0.879,Heavy traffic due to construction work,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Dawn,Dawn,Sunset,Sunset
A-78,5,6/25/2020,6/25/2020,7.623331044,86.29571066,16.37412977,77.5610319,3.011,Delays caused by roadblock or construction,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Dawn,Dawn,Sunset,Night
A-79,1,3/11/2024,3/11/2024,15.59703851,78.92369988,30.54152069,91.58235873,3.516,Vehicle breakdown on major highway,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Night,Night,Dawn,Sunset
A-80,2,7/29/2021,7/29/2021,36.99927525,72.49341002,15.16955515,90.85548504,2.785,Vehicle breakdown on major highway,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Night,Twilight,Night,Sunset
A-81,4,7/2/2024,7/2/2024,17.29328184,88.86798454,36.05724671,85.70726724,3.886,Construction detour causing congestion,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Twilight,Sunset,Sunset,Dawn
A-82,5,8/18/2021,8/18/2021,22.35125344,96.02177644,31.32362843,91.2365175,1.123,Pedestrian accident causing delay,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Day,Night,Dawn,Sunset
A-83,2,7/4/2020,7/4/2020,31.76244828,70.65969352,34.22565357,91.68439442,4.481,Minor traffic disruption due to road work,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Day,Dawn,Night,Day
A-84,1,5/25/2021,5/25/2021,32.01446492,86.84885984,30.53279976,71.99038804,1.791,Construction detour causing congestion,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Dawn,Night,Night,Twilight
A-85,5,1/27/2022,1/27/2022,19.12089753,90.50900635,13.36684703,71.53360201,1.573,Construction detour causing congestion,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Dawn,Sunset,Day,Twilight
A-86,2,7/24/2021,7/24/2021,23.6905752,73.43210344,26.71466199,83.18105217,2.123,Vehicle breakdown on major highway,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Dawn,Day,Dawn,Day
A-87,2,3/8/2020,3/8/2020,28.72117166,86.21945191,29.9165426,89.32042256,1.996,Minor traffic disruption due to road work,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Night,Day,Sunset,Day
A-88,2,10/27/2023,10/27/2023,7.357994545,73.78462518,7.2990842,95.06775842,2.819,Vehicle breakdown on major highway,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Day,Dawn,Dawn,Day
A-89,4,2/13/2024,2/13/2024,33.57408203,89.55592346,33.73376234,79.21269828,4.882,Construction detour causing congestion,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Sunset,Twilight,Night,Twilight
A-90,3,6/13/2021,6/13/2021,9.180535141,77.50967725,15.16483843,80.93155713,3.729,Heavy traffic due to construction work,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Dawn,Day,Day,Sunset
A-91,5,9/26/2024,9/26/2024,30.83397524,87.70290763,35.53647128,72.14060458,3.234,Construction detour causing congestion,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Sunset,Twilight,Day,Twilight
A-92,4,5/21/2022,5/21/2022,35.41352941,78.78838798,29.65561863,84.64373157,2.883,Delays caused by roadblock or construction,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Sunset,Twilight,Sunset,Twilight
A-93,3,11/24/2023,11/24/2023,30.02389899,88.41709652,12.65168319,85.7444383,3.623,Construction detour causing congestion,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Sunset,Day,Dawn,Dawn
A-94,5,10/25/2021,10/25/2021,22.8073122,93.84861879,32.39222357,88.64246402,4.673,Heavy traffic due to construction work,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Sunset,Day,Dawn,Twilight
A-95,3,1/15/2020,1/15/2020,20.48958102,96.50734677,10.02290812,93.64314696,0.796,Delays caused by roadblock or construction,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Day,Sunset,Sunset,Twilight
A-96,2,6/4/2021,6/4/2021,33.2167647,90.62762494,25.83361181,73.27693096,4.848,Delays caused by roadblock or construction,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Dawn,Night,Dawn,Twilight
A-97,1,9/28/2024,9/28/2024,13.76876458,86.41665565,23.07608388,71.62993856,1.863,Vehicle breakdown on major highway,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Day,Day,Day,Twilight
A-98,2,7/12/2021,7/12/2021,29.77572903,80.08101673,25.80872696,82.44310374,3.322,Pedestrian accident causing delay,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Day,Day,Night,Sunset
A-99,4,5/18/2021,5/18/2021,20.39770689,77.86558448,10.45372943,92.98306723,1.937,Accident near busy intersection,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Sunset,Day,Dawn,Sunset
A-100,2,11/8/2022,11/8/2022,9.001161229,76.41614814,17.90864484,85.84594588,1.617,Heavy traffic due to construction work,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,Sunset,Dawn,Sunset,Day
A-101,4,11/19/2020,11/19/2020,21.66877835,96.03391229,12.6694771,78.23395758,0.727,Construction detour causing congestion,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Dawn,Dawn,Sunset,Dawn
A-102,4,11/14/2020,11/14/2020,7.585888309,84.29268909,17.23823705,76.36944921,2.239,Construction detour causing congestion,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Dawn,Twilight,Dawn,Night
A-103,5,5/7/2024,5/7/2024,21.782798,82.5022592,7.404403926,71.97405483,1.999,Construction detour causing congestion,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Sunset,Twilight,Dawn,Twilight
A-104,5,5/3/2024,5/3/2024,31.67697096,83.43785507,27.970934,76.69392638,4.171,Accident near busy intersection,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Dawn,Twilight,Twilight,Night
A-105,5,5/17/2020,5/17/2020,20.8939123,83.20273765,28.35666789,90.46357777,2.211,Power outage affecting traffic signals,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Sunset,Night,Sunset,Night
A-106,5,1/2/2020,1/2/2020,30.02414136,94.69510755,33.05734898,89.33928087,0.78,Heavy traffic due to construction work,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Sunset,Twilight,Dawn,Twilight
A-107,3,2/11/2024,2/11/2024,24.91237398,73.5756609,13.6420932,84.18451287,1.512,Pedestrian accident causing delay,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Twilight,Dawn,Dawn,Day
A-108,5,12/1/2023,12/1/2023,17.77051975,96.42465558,31.36970126,95.68365704,4.121,Pedestrian accident causing delay,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Sunset,Night,Night,Twilight
A-109,5,11/25/2023,11/25/2023,27.58131032,71.98091569,25.08598807,85.01808446,1.591,Vehicle breakdown on major highway,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Sunset,Day,Night,Day
A-110,2,3/6/2024,3/6/2024,18.614131,95.11593086,33.23038827,81.84600709,1.398,Pedestrian accident causing delay,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Night,Sunset,Night,Day
A-111,4,9/2/2023,9/2/2023,11.77566059,89.72109284,33.04101124,76.39454231,0.669,Pedestrian accident causing delay,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Twilight,Sunset,Dawn,Night
A-112,3,6/23/2020,6/23/2020,11.03732214,81.30851966,13.97521129,73.399773,3.815,Pedestrian accident causing delay,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Sunset,Day,Night,Night
A-113,3,2/14/2023,2/14/2023,35.010587,68.1980735,17.89080611,80.95533013,1.701,Accident near busy intersection,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Day,Sunset,Dawn,Night
A-114,5,10/18/2023,10/18/2023,34.61628643,93.74624101,29.86507247,88.01842095,3.374,Pedestrian accident causing delay,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Sunset,Twilight,Dawn,Sunset
A-115,4,1/23/2023,1/23/2023,29.47786622,91.25785476,31.59370878,90.09392898,3.562,Vehicle accident with minor impact,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Twilight,Twilight,Night,Night
A-116,5,11/14/2024,11/14/2024,19.69705713,87.7285619,28.22445695,82.17601104,4.545,Construction detour causing congestion,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Twilight,Sunset,Dawn,Day
A-117,3,9/28/2020,9/28/2020,31.31005,89.62833,23.92764922,69.31340428,2.05,Vehicle accident with minor impact,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Night,Night,Sunset,Dawn
A-118,4,2/15/2023,2/15/2023,32.95822884,94.29625203,17.64501155,87.79918027,3.478,Vehicle breakdown on major highway,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Night,Day,Day,Dawn
A-119,5,2/13/2024,2/13/2024,19.14796892,78.99901757,13.11958607,81.35813308,1.198,Power outage affecting traffic signals,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Day,Day,Twilight,Day
A-120,5,7/1/2020,7/1/2020,26.83273274,93.29416012,13.58675869,69.28286517,2.475,Vehicle breakdown on major highway,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Twilight,Twilight,Dawn,Night
A-121,2,3/22/2023,3/22/2023,36.55656238,83.11628057,18.8203664,75.97946369,3.005,Heavy traffic due to construction work,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Sunset,Sunset,Night,Dawn
A-122,2,1/16/2022,1/16/2022,29.38689901,81.73204579,32.3295689,76.72135615,3.684,Construction detour causing congestion,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Dawn,Night,Dawn,Day
A-123,3,3/1/2024,3/1/2024,8.866383892,89.01295666,11.90493017,75.78538605,3.532,Minor traffic disruption due to road work,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Dawn,Day,Night,Night
A-124,4,1/20/2020,1/20/2020,34.3476802,88.17316229,27.81682606,79.50232973,1.577,Accident near busy intersection,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dawn,Twilight,Sunset,Sunset
A-125,4,3/5/2024,3/5/2024,29.61049805,77.28676526,12.29695223,77.07473855,0.706,Power outage affecting traffic signals,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Night,Dawn,Night,Sunset
A-126,2,2/21/2023,2/21/2023,21.47834595,86.98363102,27.23024498,75.46247597,4.197,Construction detour causing congestion,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Night,Twilight,Day,Twilight
A-127,1,4/6/2022,4/6/2022,35.30083145,87.37825076,29.69450415,79.95937445,4.291,Power outage affecting traffic signals,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Day,Twilight,Twilight,Sunset
